,tweet,sentiment,word_count,char_count,avg_word,stopwords,hastags,numerics,upper
0,#sxswnui #apple defining language touch different dialects becoming smaller,1,12,89,6.5,2,3,0,0
1,"learning ab doodles! doodles light, funny &amp; innovative, exceptions significant occasions. #googledoodle",1,19,143,6.578947368421052,4,2,0,0
2,"one in-your-face ex. stealing show yrs &quot;at #sxsw, schools mkt experts&quot;",2,23,132,5.0,7,1,0,2
3,app would b pretty awesome crash every 10mins extended browsing. #fuckit #illmakeitwork,0,19,125,5.631578947368421,4,3,0,1
4,line outside austin waiting,1,15,77,4.5,4,1,0,1
5,#technews one lone dude awaits 2 appleûªs sxsw #tech_news #apple #ipad_2 #tablets #tech,1,18,115,5.444444444444445,1,7,1,2
6,"sxsw tips, prince, npr videos, toy shopping zuckerberg. #ipad",1,13,81,5.666666666666667,0,2,0,2
7,nu user #ubersocial #iphone app includes uberguide sponsored #mashable,1,20,119,5.0,6,4,0,3
8,free sampler itunes #freemusic,2,7,46,5.714285714285714,1,2,0,1
9,think might go weekend without seeing case twice...,2,15,79,4.333333333333333,3,1,0,2
10,official app û÷sxsw goûª bit.ly/hmiiga #android #iphone #ipad,3,11,81,6.454545454545454,0,4,0,3
11,official! i'm buying ipad. #elevate,2,8,49,5.25,1,2,0,1
12,"they're giving away 2's, x boxes books #techenvy",2,13,75,4.846153846153846,2,2,0,0
13,"we're officially #sxsw! come grill, mention us w/ #zazzlsxsw youûªll get make case!",1,24,138,4.791666666666667,7,2,0,2
14,"#companies watch, trade show floor #apps #features #hardware #ipad #iphone",1,15,99,5.666666666666667,3,7,0,1
15,"marissa mayer, future location: augmented reality, contextual discovery, make smartphones smarter.",1,16,126,6.9375,1,1,0,1
16,dl #calyp app get #calyp casa free mobile app available itunes app &amp; android market. see u there!,1,27,138,4.148148148148148,7,3,0,2
17,"well yeah. music &gt; nerds god, cute girls everywhere...i love interactive ends music begins",2,22,131,5.238095238095238,3,1,0,1
18,opens pop sxsw via #apple #ipad2 #technology #itunes,1,15,92,5.2,1,5,0,2
19,atleast #sxsw. i'm ipad. #doubleloser,1,15,81,4.466666666666667,7,2,0,2
20,"cue choir music store, sxsw",1,11,60,5.0,1,1,0,2
21,anyone want 2? i'm line pick one someone willing pay 50 grab 1 you?,1,29,123,3.2758620689655173,13,1,2,0
22,"_¼ûä___ü ___¡ _____«_µ... &gt;&gt; launch major social network called circles, possibly today",2,19,132,6.333333333333333,1,1,0,0
23,p.s. throw b!tchin' party. shout spazmatics,2,16,94,4.9375,4,1,0,2
24,".@mention 3g iphone. 3 hrs tweeting #rise_austin, dead! need upgrade. plugin stations #sxsw.",0,24,126,4.478260869565218,7,2,1,4
25,anyone know talk #circles ?,1,12,61,4.166666666666667,5,2,0,1
26,ûï@mention set launch social network #circles today #sxswû,1,15,97,5.928571428571429,2,2,0,0
27,"launch major social network called circles, possibly today",1,13,85,5.615384615384615,1,1,0,1
28,standing long line surrounded unemployed techies brooklyn! 5th ave waiting ipad?!,3,27,138,4.3076923076923075,12,1,0,0
29,wow! *something ventured* kick ass film... blekko details. good choice #startups #vc #movie #awesome,1,22,138,5.318181818181818,5,5,0,2
30,djs here? need one 3am tuesday- douche bags need apply-,1,17,90,4.352941176470588,2,1,0,1
31,packed. many #apple devices. alarm set 5:15am. see ya'll #sxsw. psyched meet (finally) many guys!,2,24,128,4.375,7,2,0,2
32,"check offers google, cool.",2,9,54,5.111111111111111,3,1,0,1
33,"looks interesting rt@mention launch major social network called circles, possibly today",2,19,131,5.947368421052632,2,1,0,1
34,"went whole day w/out laptop &amp; used 1. things missed: ftp, cloudapp, fast typing, &amp; skype. #ipad",0,26,136,4.269230769230769,4,2,0,3
35,find stupid stupid game #ipad currently special sale!,1,19,101,4.368421052631579,9,2,0,0
36,overheard #sxsw: &quot;google launch products people's events.&quot;,1,11,88,7.090909090909091,4,1,0,1
37,"mayer: people drive 12bn+ miles year using maps navigation. whither, sat nav?",1,15,92,5.2,1,1,0,0
38,launches geo-social 'offers' #deferomobile,1,10,77,6.8,1,2,0,2
39,"we're giving away shiny 2 sxsw quotables, simply sign entered automatically! &gt;&gt; #ipad2",1,24,137,4.956521739130435,5,2,1,2
40,heard downtown location sold $1m merchandise last night #apple #ipad2,1,15,93,5.266666666666667,3,3,0,0
41,"bummed miss year, we're quarantined kiddie cold, garageband comfort me. #fb",2,26,136,4.269230769230769,12,2,0,2
42,"lonely planet made austin guide free grab it, never know need it.",1,21,108,4.190476190476191,7,1,0,0
43,"sxsw: groupme says itûªs going global. first, adds social features. #android #iphone #sms #stevemartocci",1,18,125,6.0,1,5,0,3
44,time warner cable roll app live tv march 15 #entry #friends #house,1,18,95,4.333333333333333,3,4,1,1
45,post-mobile social party (via could win photography gear &amp; 2,1,18,110,5.166666666666667,3,1,1,1
46,awesome version web site coming #sxsw. want demo? meet #sxsw. pls,2,26,140,4.423076923076923,7,2,0,2
47,download let's one sf sweet! love vid! (via @lenashaw),1,22,126,5.0,6,1,0,1
48,nice move: set open popup shop core action,2,14,70,4.071428571428571,3,1,0,1
49,motley fool: prepares fight facebook | circles may appeared way,1,23,123,4.391304347826087,7,1,0,1
50,'google lost way caring much business vs. users' - #psych,0,20,107,4.4,6,2,0,1
51,update #recco! panels/parties def good times? follow friends who've b4 newbie.,1,22,136,5.2272727272727275,6,2,0,2
52,"ûï@mention launch major social network called circles, possibly today #sxswû dejavu again.",1,18,123,5.888888888888889,3,1,0,0
53,&quot;i've seen one 2 far.&quot; 30+ audience members raise 2's.,1,19,111,4.894736842105263,4,1,1,1
54,"&lt;just rumor...&gt; launch major social network called circles, possibly today",1,18,121,5.777777777777778,2,1,0,1
55,"tessie s, frontwoman intimate stranger, ink painful places get ink on. respect. location:",1,23,127,5.0,6,1,0,1
56,"&quot;future&quot; contextual discovery nice way articulating intersection social, mobile search.",1,20,138,5.95,7,1,0,1
57,"reportedly unveil social network called circles, likely launch may #googlecircles #googleme",1,18,124,5.944444444444445,3,3,0,1
58,"tradeshow floor: engage w/ multi-touch interactive wall, take part augmented reality 3d enter win ipad.",1,23,132,4.782608695652174,7,1,0,2
59,fashion essential #13: photo,1,13,80,5.666666666666667,3,2,0,0
60,awesome charging lockers registrant's lounge,2,11,72,6.2,2,1,0,0
61,brilliant...i hope plenty ipads...rt open pop-up shop sxsw [report] -,2,19,116,5.157894736842105,5,1,0,2
62,launchrock vencorps want give $30k ûïbestû startups,1,13,81,5.3076923076923075,0,1,0,2
63,composed tweet acerbic cynical users phone crashed dumped apps. #twitterpower #imthatgood,0,23,136,4.956521739130435,9,3,0,1
64,"taught anything, want 2 dont know why.",2,19,87,3.6315789473684212,5,1,1,3
65,anyone news #sxsw? #ipad 2 must-have course.,2,17,89,4.294117647058823,7,2,1,1
66,t-minus 6 hours: social media mavens start performing degrading sex acts charge.,1,16,100,5.3125,2,1,1,1
67,haha which? #sxsw?,1,8,45,4.75,2,1,0,0
68,talk mistakes made building netflix iphone. #netflixiphone,0,17,106,5.294117647058823,8,2,0,1
69,i'd say 75% booths tradeshow waffling 2. portion reps dressed crazy characters.,1,26,138,4.346153846153846,11,1,0,0
70,#ipad2 photos thanks @gappacker @flavugm @marcusross @jordanbell,1,17,129,7.0625,1,2,0,1
71,"#google launch major social network called #circles, possibly today",1,13,87,5.769230769230769,1,3,0,0
72,#bjdproductions #apple opening pop-up austin geekfest [apple] #tech,1,13,93,6.230769230769231,2,4,0,1
73,thoughts path photo app? #iphoneography #mobilephotography,1,11,82,6.545454545454546,2,3,0,0
74,"2 heck w/being sick, #apple supposedly setting mini-store - go now!! &amp; i'm feeling 95%, plan 2 go",1,28,141,4.071428571428571,7,2,2,1
75,line might well popup austin #ipad2,1,18,91,4.111111111111111,6,2,0,2
76,#4sq sees facebook competition via #checkins,1,11,73,5.7272727272727275,2,3,0,0
77,labs' fusion tables made election day foursquare visualization possible ^pr,2,12,88,6.416666666666667,0,1,0,2
78,#tech #lightbox_photos wants #android camera app (#sxsw): although android adoption is... #technology,2,17,123,6.294117647058823,0,4,0,1
79,"google's marissa mayer location-based 'fast, fun future' #sxswi",2,13,87,5.769230769230769,3,2,0,1
80,"spent $1,000+ come sxsw. already used 1. wait couple city blocks. why? #ipad2",0,23,127,4.304347826086956,4,2,0,2
81,nothing quite like make want ipad. desperately. almost drooling guy's next me.,2,22,116,4.318181818181818,7,1,0,1
82,"ûï@mention &lt;-- help forward doc anonymous accounts, techies,&amp; ppl help us jam #libya",1,21,128,5.142857142857143,4,2,0,7
83,#social important #google screw big launch circus via,1,20,111,4.6,0,3,0,3
84,thought people spent lot time staring last year ...just wait.,1,19,98,4.2105263157894735,6,1,0,0
85,google's social network &quot;circles&quot; announced today??,1,9,77,7.666666666666667,1,1,0,0
86,open pop-up shop sxsw [report]:,1,10,56,4.7,2,1,0,2
87,ipad2's left #sxsw? anyone know? :),1,14,73,4.285714285714286,3,1,0,2
88,:new #ubersocial #iphone app includes uberguide sponsored #mashable,1,18,116,5.5,6,4,0,1
89,set launch social network #circles today,1,15,87,4.866666666666666,2,2,0,2
90,"cunning apple, keeping #ipad2 popup open late next parties impulsive late night purchases. regrets here...",2,21,132,5.333333333333333,3,2,0,0
91,n22: opportunity knocks [codes valid: 12:00-3:59:59p 03/13/11] #infektd #necro,1,11,91,7.363636363636363,0,3,0,1
92,lazers! display tonite: #gsdm #google industry party:,1,13,88,5.846153846153846,1,3,0,1
93,"correction: cab driver well prepared - he's got laptop, blackberry dashboard. got regular cell 2",1,27,140,4.222222222222222,8,1,1,0
94,#fmsignal marissa mayer #google announces check ins interview john battelle.,1,15,102,5.866666666666666,3,3,0,1
